Length,H3K27ac_Abcam_pA_Tn5_F10_P6_R1,H3K27ac_Abcam_pA_Tn5_F10_P9_R1,H3K27ac_Abcam_pA_Tn5_F6_P9_R1,H3K27ac_Abcam_pA_Tn5_F6_P9_R2,H3K27ac_Abcam_Tn5_F10_P7_R1,H3K27ac_Abcam_Tn5_F6_P7_R1,H3K27ac_Diagenode_pA_Tn5_F10_P9_R1,H3K27me3_Cell_Signaling_pA_Tn5_F10_P6_R1,H3K27me3_Cell_Signaling_pA_Tn5_F10_P9_R1,H3K27me3_Cell_Signaling_Tn5_F10_P7_R1,H3K27me3_Cell_Signaling_Tn5_F6_P7_R1
20,1471,931,38,1633,70,3897,688,35,805,3130,5057
21,1893,1225,56,1956,92,4597,814,59,1030,3650,6380
22,1604,1036,39,1907,77,4021,728,50,912,2888,5135
23,1665,1019,46,2034,71,4157,705,59,988,3059,5393
24,2310,1442,70,2539,119,5668,988,82,1338,4095,7266
25,1961,1249,60,2172,91,4411,769,67,1044,3407,5908
26,2181,1346,79,2674,109,4954,941,83,1275,3880,6699
27,2182,1287,70,2690,101,5105,980,99,1318,4085,6649
28,2312,1418,97,2811,123,5263,957,91,1308,4076,7067
29,2318,1423,92,3145,109,5472,1064,83,1469,4422,7230
30,2208,1396,71,2911,118,5284,980,85,1331,4259,6883
31,2459,1537,90,3103,122,5791,957,117,1437,4719,7222
32,2464,1518,87,3395,113,6167,1010,100,1616,5105,7839
33,2772,1701,108,3586,134,6413,1223,127,1730,5618,8182
34,2949,1716,97,3828,122,6718,1259,121,1669,5798,8396
35,2847,1769,100,3727,142,6452,1153,146,1718,5847,8301
36,2938,1835,119,3931,151,6792,1256,128,1808,6113,8594
37,3077,1947,118,3986,143,7042,1246,152,1884,6493,8983
38,3153,1981,160,4316,155,7360,1270,153,1941,6734,9157
39,3408,2098,137,4563,190,7693,1467,165,2150,7381,9524
40,3467,2142,165,4920,209,8036,1459,168,2264,7645,9950
41,3610,2231,176,5124,187,8037,1608,170,2255,7815,9995
42,3697,2315,175,5237,183,8234,1624,172,2384,8343,10493
43,3822,2368,166,5297,245,8510,1537,191,2544,8818,10594
44,3919,2432,213,5537,225,8915,1774,193,2577,9340,10866
45,4107,2569,203,5671,264,9242,1756,203,2795,9817,11332
46,4221,2624,200,6083,241,9543,1846,202,2992,10031,11549
47,4271,2662,231,6294,214,9902,1793,230,3052,10221,11991
48,4441,2797,239,6594,253,9923,1922,241,3027,10485,11860
49,4525,2833,260,6566,283,10363,2000,238,3130,11305,12063
50,4728,2942,269,6944,270,10576,1987,242,3381,11451,12298
51,5053,3130,287,7071,255,10843,2152,246,3569,12268,12755
52,5359,3338,264,7517,279,11377,2107,281,3637,12724,13201
53,5544,3516,281,7820,310,11708,2220,317,3971,13769,13652
54,5446,3408,319,8346,317,12307,2351,299,4075,14318,14094
55,5602,3553,389,8416,328,12230,2250,300,4125,14282,13898
56,5738,3532,343,8758,341,12813,2411,314,4271,14924,14680
57,6059,3857,374,9227,321,13280,2431,318,4455,15497,14804
58,6283,3943,386,9180,410,13542,2415,341,4578,15701,14699
59,6326,3940,387,9637,382,13488,2604,316,4610,16223,15029
60,6403,4017,434,9387,375,13361,2584,328,4617,16364,14938
61,6511,3947,403,9699,379,13869,2576,366,4717,16944,15308
62,6887,4356,427,10393,405,14772,2723,355,5023,18272,15829
63,7150,4410,429,10672,473,15557,2850,408,5586,18783,16822
64,7622,4775,476,11933,523,16648,3105,406,5776,20644,17489
65,7465,4757,501,11673,466,16125,3018,382,5651,20230,17484
66,7629,4896,532,11967,487,16120,2996,369,5848,20661,17187
67,7689,4842,584,12094,483,16381,3052,416,6029,20986,17742
68,7719,4867,532,11989,449,16351,3016,397,5799,21118,17034
69,8367,5251,569,13067,509,17488,3220,435,6325,22524,18049
70,8199,5043,609,12834,481,17089,3226,440,6422,22507,17682
71,8675,5485,612,13797,574,18118,3294,506,6610,23768,18508
72,8835,5606,687,14489,630,18802,3364,481,7130,24645,19231
73,9059,5748,635,14087,588,18819,3586,493,7163,24887,19301
74,9295,5851,701,14759,591,19444,3547,540,7191,25949,19931
75,9374,5855,752,14768,660,19164,3567,540,7222,25609,19407
76,9498,6034,726,15377,627,19788,3643,560,7628,27098,20116
77,10055,6400,837,15982,667,20503,3891,525,7936,28077,20449
78,10137,6461,792,16246,661,20369,3721,524,8021,27553,19829
79,10603,6651,884,16607,675,21047,3951,566,8101,28497,20419
80,10310,6505,853,16964,719,20937,3930,636,8370,28200,20131
81,10845,6849,955,17837,737,21867,4007,627,8699,29529,21183
82,10938,6896,946,17977,715,22247,4076,664,9126,30295,21342
83,11283,7216,917,18023,788,21960,4186,613,9029,30518,21335
84,11438,7195,948,18414,751,22977,4125,636,9571,31624,22114
85,11837,7577,1085,19110,791,23276,4380,660,9612,32510,22873
86,12228,7678,1087,19648,836,24252,4360,774,9965,32446,22590
87,12393,7923,1154,20095,874,23956,4428,716,10100,33475,23010
88,12378,7849,1121,20460,887,23346,4583,710,10298,32260,22226
89,12757,8106,1229,20847,861,24416,4575,676,10470,33224,22623
90,12644,8157,1148,20906,857,23918,4609,742,10755,32987,22444
91,12997,8487,1252,21085,939,24848,4872,733,11032,33448,23041
92,13260,8388,1270,21033,952,25000,4862,765,10908,33893,22868
93,13756,8797,1308,22276,1017,25787,5002,868,11395,35723,23944
94,14032,8889,1352,22538,1041,26297,5212,835,11954,35700,23911
95,14824,9492,1398,23987,1012,27526,5294,911,12236,36773,24914
96,14775,9473,1380,23633,1017,26567,5445,878,12143,36923,24326
97,14576,9297,1397,23188,1061,26312,5396,958,12224,36396,24601
98,14544,9333,1505,24030,1007,26057,5258,922,11910,36337,24046
99,14768,9539,1425,23670,1124,26680,5399,954,12363,36082,24084
100,15655,10041,1580,24911,1085,27702,5610,945,13047,37537,24728
101,15647,10062,1557,24774,1157,26974,5654,962,13093,37214,24533
102,15602,9941,1630,25291,1201,27425,5557,1044,13087,37310,24562
103,16121,10358,1723,26040,1218,28094,5619,1045,13938,38218,25137
104,16506,10633,1718,25999,1291,28487,6045,1022,13925,38899,25345
105,17160,10943,1786,27186,1320,29084,6309,1057,14501,39443,26336
106,17098,10971,1821,27832,1371,28892,6139,1103,14700,39360,25809
107,17194,11092,1834,27198,1287,28907,6305,1165,14551,39726,25792
108,17253,11199,1799,27746,1348,28854,6352,1212,14843,38638,26000
109,17341,11222,1907,27175,1356,27673,6275,1130,14633,37910,24762
110,17741,11480,1923,28007,1328,28879,6331,1198,15006,39273,25663
111,17651,11657,1904,28233,1372,28808,6502,1231,15034,38732,25449
112,18242,11754,2034,28569,1483,29308,6422,1249,15576,39035,25891
113,18487,12058,2036,28884,1506,29574,6509,1314,15667,39516,25825
114,18296,11784,2037,29207,1511,29267,6510,1235,16143,39827,26613
115,19299,12485,2164,30074,1613,30758,6801,1350,16546,41134,27052
116,18696,12103,2255,30012,1573,29915,7043,1310,16517,39927,26536
117,19263,12645,2251,30577,1535,30151,6853,1409,16874,40227,27102
118,19724,12893,2282,30918,1650,30315,6850,1375,17139,40099,26360
119,19171,12456,2271,30211,1606,29179,6890,1280,16918,39459,26008
120,19914,12926,2291,31086,1603,30400,7245,1469,17404,39829,26871
121,19934,13023,2328,30970,1782,29903,7073,1454,17145,39561,26092
122,19735,12994,2412,31082,1778,29809,7140,1466,17579,39306,26504
123,20476,13534,2480,31375,1800,30034,7464,1523,17568,39779,26327
124,20413,13271,2451,31805,1876,30654,7372,1544,17918,39951,26804
125,21641,14205,2523,32662,2044,31520,7719,1667,18816,40891,27392
126,21218,13828,2608,32924,2035,30914,7537,1594,18476,40366,27261
127,21199,13955,2585,32922,1961,30922,7873,1674,18555,40152,27351
128,21151,14033,2615,32579,2075,30520,7809,1700,18499,40036,27042
129,21626,14156,2669,32796,2066,30349,7760,1678,18668,39300,26841
130,21595,14171,2675,32583,2216,30239,7754,1746,18643,39140,26475
131,21453,13962,2665,32608,2102,30540,7755,1844,18977,38814,26598
132,21823,14375,2729,32682,2247,30318,7788,1676,18977,39151,26397
133,22378,14906,2778,33406,2260,30683,8063,1837,19520,39790,27307
134,22529,14854,2842,33899,2346,31344,8363,1842,19768,39858,27833
135,23248,15266,3132,34506,2578,31646,8464,2002,20384,40594,28192
136,23240,15263,3178,34359,2569,30930,8369,1963,20382,40510,27916
137,23006,15072,3057,34631,2504,30821,8263,2049,20545,39490,27983
138,22816,15218,3239,34160,2501,29789,8451,2064,20222,38387,27159
139,22921,15140,3240,34408,2540,30422,8262,2017,20545,38356,27161
140,22884,15047,3217,33553,2562,29920,8424,2053,20103,37815,26507
141,21639,14667,2720,30532,2382,28511,7865,1849,18465,36320,25386
142,22197,14890,3080,32291,2605,29584,8079,2038,19829,36717,26086
143,23061,15418,3252,33021,2761,29617,8375,2221,20224,37823,26329
144,24078,15918,3624,34516,2881,30561,8658,2362,21226,38286,27431
145,23905,15971,3812,35838,2986,31016,8887,2378,22214,38356,27294
146,24770,16435,3919,36202,3205,31301,8912,2495,22275,38076,27186
147,25046,16545,4037,36603,3239,30650,9117,2562,22564,37612,27522
148,26014,16936,4504,39324,3617,31381,9341,2772,23429,38163,28193
149,27367,17716,4856,40504,3832,32284,9762,2922,24294,38741,29220
150,27262,17698,5115,41064,3907,32811,10049,2775,24571,38629,28954
151,27788,17929,5083,41197,3996,32735,10011,2987,24751,38714,29608
152,27639,17882,5053,40700,4120,31919,9913,2878,25046,38031,29235
153,27734,17996,5063,41353,4208,31879,10314,3082,24951,38257,29381
154,28040,18232,5336,41000,4315,32244,10264,3181,25187,38318,29711
155,28613,18541,5247,41233,4630,32602,10324,3242,25957,38840,29792
156,28675,18697,5529,42020,4643,32320,10611,3238,25649,38803,29730
157,28494,18497,5358,41617,4820,32092,10296,3273,25710,37550,29836
158,28339,18344,5472,41748,4846,32137,10416,3320,25406,37434,29301
159,28785,18750,5670,42048,5096,31774,10673,3475,25864,37300,29446
160,28878,18786,5717,41829,5131,32001,10814,3383,26004,37206,29656
161,28972,18963,5611,41651,5290,31982,10550,3507,26290,36903,29611
162,28931,18784,5688,41457,5459,31314,10472,3500,25743,36883,29239
163,29338,18965,5709,41218,5727,31218,10808,3572,26736,36443,29171
164,29236,19065,5751,41453,5938,31847,10556,3545,27067,37005,29733
165,30109,19658,5985,42795,6031,32676,11157,3741,27472,37282,30056
166,30236,19676,6136,42420,6161,31825,11010,3812,27761,37602,30323
167,29496,19330,6113,42656,6310,31792,10872,3838,27599,36805,30009
168,29967,19628,5980,42288,6346,31282,11099,3829,26910,36034,29610
169,30278,19743,6140,42083,6499,31384,11321,3943,27247,36017,30168
170,30315,19795,6105,42421,6662,31127,11097,3902,27151,35863,29712
171,30022,19865,6164,42062,6897,30956,11296,3971,27369,35350,29806
172,29587,19396,6161,41682,7029,30577,11128,3896,27235,34783,29102
173,30349,19819,6266,41899,7459,31109,11152,4087,27642,35135,29692
174,30497,20140,6376,42403,7530,31437,11452,4058,27600,35171,29830
175,31155,20295,6517,42571,7667,31158,11355,4180,28411,35432,29767
176,30944,20379,6285,42508,8085,30923,11239,4240,28431,34971,29971
177,30575,19972,6439,41918,8202,30539,11631,4373,28136,34807,29703
178,30315,19894,6365,42824,8347,30671,11412,4363,28117,34285,29515
179,30488,20006,6631,42090,8451,30943,11527,4407,28213,33921,29524
180,30807,20101,6748,42597,8707,30377,11517,4336,28509,33891,29150
181,30829,20263,6686,42007,8926,30463,11273,4419,28409,33625,29511
182,30619,20037,6825,41984,8898,29705,11486,4475,28224,32577,29091
183,30307,19902,6861,42230,9191,29906,11387,4453,28547,32849,28973
184,31021,20356,6728,41887,9452,30176,11732,4515,28536,32827,29168
185,30934,20262,6730,41508,9785,30104,11732,4538,28715,32497,29308
186,30662,20186,6860,41569,9689,29672,11476,4708,28614,32592,29309
187,30764,20240,6815,41484,10097,29862,11689,4770,28826,32651,29097
188,30927,20355,7008,41555,10307,29611,11666,4707,28870,32390,29346
189,31004,20391,6885,41387,10735,29234,11641,4953,29338,31894,29194
190,30729,20326,6944,41026,10756,29109,11851,4935,28944,31520,28301
191,30760,20036,7052,41496,10903,28877,11578,4885,29259,30970,28584
192,30979,20446,7128,41300,11210,29135,11877,4918,28630,30686,28707
193,31393,20583,7082,40919,11492,29195,11462,4921,28693,31441,28628
194,31183,20343,7004,40819,11475,28590,11825,5084,29041,31083,28483
195,31027,20501,6936,41050,11825,29015,11730,4941,28792,30432,28169
196,31218,20343,7147,41112,12299,28471,11913,5104,28744,30355,28366
197,31161,20446,7274,40916,12411,28681,11571,5173,29181,30808,28271
198,31515,20857,7314,41810,12878,28917,11657,5254,29622,30458,28651
199,31453,20739,7351,41293,12795,28191,12163,5140,28739,30205,28024
200,30797,20123,7228,40672,12927,28547,11790,5154,29078,29600,28175
201,30913,20475,7363,40423,13117,27704,11787,5053,29034,28967,27825
202,30413,19951,7388,40153,13477,27746,11611,5205,28955,28669,27498
203,30702,20190,7083,40325,13554,27472,11621,5261,28820,28639,28036
204,31170,20445,7269,40387,13955,27608,12210,5370,28895,29157,27608
205,31082,20629,7486,40027,14315,27640,11908,5480,28786,28639,27644
206,31382,20626,7532,40585,14656,27649,12016,5446,29079,29055,27760
207,31363,20525,7634,40255,14726,27368,11789,5357,29269,28493,27834
208,30618,20122,7538,40156,15032,27555,12061,5554,29011,28104,27385
209,31040,20465,7476,39292,15350,27092,11854,5484,29325,27787,27374
210,30488,20145,7472,39805,15610,26943,11692,5448,28788,27851,27303
211,31338,20595,7567,39924,15927,26949,11909,5651,28867,27496,27569
212,31054,20670,7676,39647,16395,26493,11992,5679,29213,27626,27262
213,31030,20576,7735,39678,16385,26509,12008,5720,29561,27479,27400
214,30763,20388,7837,39370,16796,26888,11879,5645,29066,26948,27190
215,31003,20383,7472,39285,16999,26470,11805,5726,28828,26978,27190
216,30790,20189,7781,39341,17257,26215,12063,5671,29063,26802,27210
217,30887,20464,7719,39046,17373,26061,11954,5910,29180,26610,26634
218,31123,20727,7610,39315,17680,26607,11873,5902,28909,26216,27002
219,31091,20655,7606,39126,18045,26123,11921,5912,29047,26502,26525
220,30882,20643,7922,39055,18337,25969,11749,5762,29442,25937,26717
221,30809,20544,7779,39474,18606,26591,12070,6059,29380,26219,26502
222,30693,20360,7828,38879,19057,25552,11907,5923,29096,25759,26308
223,30929,20493,7713,38890,19288,25762,12040,5976,28898,25468,26314
224,30858,20558,7879,38691,19469,25615,11822,5944,28745,25186,26168
225,30786,20631,7610,38582,19876,25818,12008,6175,29320,25512,26223
226,30699,20242,7938,38574,19880,25005,12082,6187,29010,24943,26047
227,30956,20450,7710,38084,20362,25251,12185,6040,29454,24856,26065
228,30996,20554,7916,38748,21014,25599,11804,6151,29273,24743,26468
229,30630,20238,7870,38478,20919,25281,11880,6227,29369,24735,25888
230,30455,20185,7951,38418,21233,25110,11985,6201,29263,24479,26207
231,30377,20195,7986,37950,21285,25435,11837,6348,28615,24119,25655
232,30663,20432,7824,37858,21345,24962,11828,6180,29033,23793,25463
233,30740,20319,8075,38057,22258,25018,11980,6132,29135,23759,25635
234,30312,20163,7858,37932,22206,24460,12101,6202,28864,24057,25676
235,30335,20188,7980,37910,22448,24999,11962,6246,29420,23679,25607
236,30246,20249,7777,37899,22695,24551,11854,6300,28842,23302,25197
237,30413,20207,7914,37025,22983,24389,11903,6317,29153,23183,25363
238,30342,20300,8042,37279,23105,24019,11596,6343,29005,23303,25029
239,30080,20047,8047,37087,23704,24064,11909,6279,28538,22848,24434
240,30104,19921,8147,37514,23818,24211,11875,6504,28320,22910,24700
241,30076,19937,7993,37277,24332,23831,11878,6490,28629,22662,24871
242,30075,19938,7951,37285,24227,23934,11948,6458,28230,22511,24874
243,30149,20171,7983,37041,24607,23697,11925,6305,28578,22165,24466
244,29938,19968,7950,36714,24673,23680,11690,6527,28156,22173,24830
245,30077,20168,8078,36812,24891,23391,11802,6466,28519,22271,24698
246,30018,19921,7913,36850,25403,23344,11930,6436,28947,21967,24305
247,29796,19906,7952,36394,25201,23405,11971,6702,28454,21802,24660
248,29326,19663,8017,36137,25895,22900,11577,6450,28117,21374,24444
249,29670,19742,8018,35769,26140,22881,11737,6451,28123,21562,24389
250,29619,19595,8069,35897,26246,22846,11634,6545,28287,21187,23958
251,29373,19545,7896,35794,26365,22552,11673,6671,28070,20921,23918
252,29741,19831,8183,36099,26514,22978,11622,6444,27897,20971,24024
253,29787,19818,8129,36092,26791,22865,11875,6578,28274,20772,24129
254,29356,19473,8158,36234,27015,22277,11724,6602,28329,21030,23762
255,29429,19567,7953,35701,27409,22663,11888,6773,28216,20285,23563
256,29464,19704,7964,35046,27793,22291,11719,6440,27919,20516,23272
257,29050,19487,7800,35300,27693,22151,11628,6717,28035,20119,23472
258,28991,19476,7986,34786,28041,22080,11586,6508,27539,19839,23102
259,29043,19223,7977,35368,27944,21939,11566,6540,27366,19636,23398
260,29049,19420,7963,35231,28376,21979,11558,6855,27365,19883,23554
261,29146,19460,8037,34788,28519,22258,11358,6658,27792,20010,22880
262,28781,19214,7891,34581,28386,21532,11559,6569,27456,19386,23135
263,28655,19073,8135,34708,28740,21640,11261,6768,27472,19412,22977
264,28580,19236,7754,34390,29075,21425,11492,6631,27359,19341,22605
265,28622,19020,7781,34273,29119,21384,11609,6647,27220,19266,22722
266,28338,18777,7833,34522,29333,21418,11230,6777,27230,19449,22392
267,28214,18774,7839,34263,29579,21041,11482,6792,26927,18566,22589
268,28536,19119,8018,34153,29584,20913,11525,6669,27162,18654,22435
269,28410,19044,7979,33918,29961,21165,11547,6556,26669,18891,21924
270,28009,18897,7948,33862,29884,20674,11424,6826,26983,18460,22239
271,28083,18756,7782,33879,30195,20699,11294,6754,26994,18220,22192
272,27700,18487,7894,33767,30617,20337,11222,6781,26837,18224,22066
273,27705,18637,7835,33653,30474,20177,11257,6759,26486,17994,21836
274,27694,18597,7859,33402,30720,20346,11281,6742,26552,17744,21899
275,27497,18232,7903,33636,30508,20206,11373,6946,26416,17812,21949
276,27933,18941,7864,33074,31181,20216,11237,6730,26859,17939,22041
277,27553,18442,7941,33379,30981,20019,11173,6780,26266,17710,21674
278,27297,18321,7835,32962,31206,20278,10990,6875,26171,17645,21486
279,27297,18383,7740,33419,31397,20078,11217,6979,26239,17310,21674
280,27401,18287,7632,32607,31388,19758,10826,6684,26139,17205,21687
281,27099,18314,7817,32527,31530,19583,11316,6782,26229,17315,21551
282,26928,18046,7813,32997,31668,19838,11057,6892,26013,17191,21373
283,26995,18203,7760,32374,32214,19385,10868,6928,25872,16978,21163
284,26862,18073,7818,32339,31926,19573,11100,6803,26228,16778,21244
285,26960,18201,7568,32371,32243,19512,11233,6766,25674,16820,21436
286,27322,18454,7768,32372,32187,19669,11012,6808,26114,16959,21288
287,26735,17970,7854,32529,32421,19163,11183,6802,26025,16882,21257
288,26878,18241,7683,32414,32398,19341,10811,6772,25800,16397,21041
289,26640,17971,7841,31555,32384,19122,11153,7037,25980,16520,20673
290,26794,18073,7575,32161,32687,19205,10809,6822,25872,16250,20794
291,26587,17840,7618,32053,32964,18800,11030,6922,25676,16344,20646
292,26440,17865,7740,31904,32894,19007,11006,6919,25791,16096,20784
293,26123,17535,7459,31794,33011,18174,10845,6811,25855,16089,20406
294,26502,17977,7670,31837,33149,18791,10818,6815,25629,15830,20693
295,25851,17465,7671,31306,33190,18734,10800,6789,25543,15898,20487
296,26460,17781,7696,31352,33329,18718,10941,7020,25573,15691,20533
297,26298,17802,7624,31380,33481,18580,10838,6828,25421,16029,20375
298,25937,17471,7536,31315,33477,18385,10739,6964,25514,15463,20187
299,26266,17799,7629,31047,33519,18287,10792,6892,25349,15536,20078
300,25820,17597,7675,30964,33389,18333,10932,7009,25597,15326,20114
301,25692,17454,7450,30673,33428,18245,10705,7068,25259,15266,20068
302,25559,17300,7313,30944,33503,18174,10755,6887,25426,15053,20272
303,25675,17515,7430,30495,34284,18014,10771,6822,25637,15179,19898
304,25497,17251,7439,30696,34038,17847,10875,6798,25281,14969,19875
305,25576,17364,7536,30715,34253,17963,10936,6780,25480,14903,20024
306,25325,17067,7569,30019,34558,17785,10863,6867,25149,14645,19554
307,25644,17467,7370,30551,33796,17825,10818,7002,25106,14565,19790
308,25481,17233,7400,30685,34507,17602,10903,7027,24816,14473,19491
309,25383,17227,7435,30084,34347,17447,10495,7035,25075,14377,19782
310,25204,17026,7352,29947,34456,17641,10770,6838,24778,14665,19323
311,25275,17072,7532,30059,34509,17333,10306,7075,24929,14502,19302
312,25426,17170,7456,29937,34707,17490,10844,7107,24698,14278,19647
313,25518,17170,7411,30049,34694,17440,10754,6754,24871,14186,19115
314,25065,16955,7401,29898,34803,16742,10477,6998,24644,14221,19160
315,25281,17062,7393,29640,35059,17290,10527,6810,24495,14023,19235
316,24405,16452,7402,29721,34925,17121,10683,6798,24463,13810,19069
317,24871,16927,7246,29400,34794,17237,10668,6785,24649,13866,19293
318,24846,16814,7207,29444,34747,16925,10773,6868,24367,13674,18950
319,24655,16604,7212,29316,34593,16826,10538,7072,24261,13820,18930
320,24866,16808,7106,29165,34730,16898,10554,6939,24183,13593,18840
321,24581,16599,7178,29235,34954,16676,10157,6977,24503,13624,18832
322,24305,16468,7232,28617,35248,16591,10610,6977,24280,13439,18791
323,24709,16810,7046,28937,34769,16302,10642,6828,24154,13253,18620
324,24302,16550,6972,28569,35247,16411,10250,6898,24037,13275,18627
325,24320,16444,6996,28884,34948,16271,10515,6964,23985,13235,18934
326,24466,16752,7130,28737,35185,16349,10407,6995,24271,12914,18575
327,23885,16156,7183,28311,34876,16391,10342,6736,24053,12989,18353
328,24129,16396,7107,28502,34828,16151,10246,6835,23642,13092,18652
329,23806,16099,7028,28340,34643,16139,10244,7007,23688,13013,18313
330,24077,16324,7075,28467,34738,15910,10343,6756,23565,12773,18475
331,23874,16247,6784,27815,35108,16100,10256,6771,23902,12690,18192
332,24038,16391,7023,28276,35052,15901,10036,7065,23785,12769,18233
333,23432,15860,6905,27822,35106,15792,10106,6809,22954,12589,18119
334,23611,16043,6828,27734,34647,15833,10138,6784,23704,12474,18149
335,23765,16114,6936,27479,35201,15346,10265,6779,23118,12540,18106
336,23478,15871,6958,27831,34687,15504,10011,6750,23327,12307,18075
337,23196,15806,6957,27738,34614,15384,10282,6687,23123,12120,17966
338,23060,15741,6880,27573,34792,15342,10064,6875,23222,12256,17450
339,23226,15679,6742,27221,34514,15645,9993,6879,22858,12069,17401
340,23535,16142,6786,27092,34958,15299,10063,6819,23174,11965,17559
341,22924,15643,6726,27181,34683,15209,10029,6647,23036,11858,17726
342,22918,15739,6905,26854,34853,15387,10072,6699,22622,12063,17511
343,22878,15572,6756,26846,34669,15069,10177,6656,22433,11660,17484
344,22377,15334,6630,26806,34286,15262,9899,6683,22691,11675,17247
345,22553,15368,6604,26922,34938,14734,10089,6823,23091,11705,17454
346,22582,15447,6743,26874,34749,15065,9643,6877,22470,11768,17238
347,22583,15595,6796,26823,34481,14856,9756,6750,22733,11703,16974
348,22294,15239,6524,26701,34133,14486,9889,6677,22578,11547,17069
349,22766,15493,6781,26382,34869,14641,9722,6693,22508,11469,17043
