Length,H3K27ac_Abcam_pA_Tn5_F10_P6_R1,H3K27ac_Abcam_pA_Tn5_F10_P9_R1,H3K27ac_Abcam_pA_Tn5_F6_P9_R1,H3K27ac_Abcam_pA_Tn5_F6_P9_R2,H3K27ac_Abcam_Tn5_F10_P7_R1,H3K27ac_Abcam_Tn5_F6_P7_R1,H3K27ac_Diagenode_pA_Tn5_F10_P9_R1,H3K27me3_Cell_Signaling_pA_Tn5_F10_P6_R1,H3K27me3_Cell_Signaling_pA_Tn5_F10_P9_R1,H3K27me3_Cell_Signaling_Tn5_F10_P7_R1,H3K27me3_Cell_Signaling_Tn5_F6_P7_R1
350,22441,15440,6632,26675,34645,14561,10037,6668,21968,11225,16920
351,22302,15079,6544,26338,34602,14271,9879,6614,22320,11265,16919
352,21919,15137,6581,26251,34628,14761,9773,6658,22089,11245,16779
353,21847,14947,6504,25577,34320,14413,9822,6663,21960,11186,16629
354,22125,15145,6415,26011,34409,14404,9712,6775,22111,10941,16600
355,21485,14623,6390,25884,33964,14263,9665,6466,21978,10936,16628
356,21685,14939,6451,25620,34220,14471,9700,6616,21814,10914,16433
357,21588,14750,6373,25341,34287,14166,9513,6598,21855,10960,16453
358,21678,14931,6300,25733,34211,14215,9499,6586,22061,10894,16496
359,21770,15037,6349,25552,33851,13952,9523,6472,21596,10900,16803
360,21402,14636,6385,25313,33751,14053,9628,6629,21243,10582,16303
361,21711,14905,6279,25319,33686,13917,9133,6409,21426,10774,16349
362,21395,14681,6338,24930,34030,14036,9614,6559,21325,10606,16238
363,21136,14413,6515,25314,33695,13934,9466,6519,21446,10619,16304
364,21049,14501,6206,25131,33654,13631,9197,6385,21046,10409,16353
365,21219,14565,6199,24637,33863,13521,9483,6471,21080,10202,15992
366,21043,14481,6308,24863,33701,13724,9418,6574,20900,10342,15793
367,20953,14271,6174,24753,33547,13600,9278,6576,20768,10161,16039
368,20779,14237,6132,25058,33336,13501,9101,6276,21034,10304,15971
369,20842,14275,6038,24795,33882,13375,9392,6504,20743,10163,15915
370,20838,14220,6218,24443,33379,13239,9278,6484,21009,10178,15698
371,20615,14100,6132,24585,33013,13421,9086,6448,20663,10065,15795
372,20559,14123,6156,24324,33129,13332,9257,6561,20631,9923,15615
373,20410,14058,6080,24483,32906,13010,9039,6514,20468,9793,15784
374,20445,14027,6041,24182,32801,12763,9241,6183,20201,9829,15690
375,20574,14208,6038,23895,32683,13059,9113,6482,20181,9768,15614
376,20256,13777,6172,24013,32635,12671,8999,6488,20347,9659,15291
377,20241,13905,5790,23844,32890,13033,9296,6254,20091,9602,15472
378,20018,13868,6033,23926,32706,12947,9138,6177,20042,9713,15131
379,20076,13868,5935,24045,32542,12905,9068,6170,19838,9428,14955
380,19918,13642,6078,23783,32564,12587,9075,6375,19814,9467,15191
381,19971,13881,6016,23646,32475,12512,9028,6339,19854,9663,15498
382,19822,13646,6017,23501,32187,12683,9034,6115,19648,9446,15019
383,19508,13449,5911,23509,31982,12468,8902,6211,19381,9409,15136
384,19633,13394,5952,23254,32548,12530,8943,6185,19496,9251,14954
385,19344,13398,5655,23037,32089,12348,8820,6253,19512,9121,14798
386,19455,13365,5684,23174,32336,12236,8768,6258,19329,9215,14805
387,19630,13578,5813,23376,31589,12126,8946,6198,19441,9001,14631
388,18856,13022,5601,23032,32101,12358,8759,6078,19372,9095,14457
389,18909,13029,5754,23217,31720,12299,8649,6080,18936,8968,14630
390,19201,13353,5626,22964,31911,12268,8660,6163,18949,8974,14613
391,18850,13011,5670,22649,31752,12136,8563,6067,18639,8830,14815
392,18693,12917,5589,22614,31411,11789,8827,5992,18801,8760,14762
393,18706,12955,5434,22387,31371,11768,8361,6143,18588,8785,14134
394,18922,13173,5649,22485,31533,11727,8579,6046,18382,8483,14685
395,18398,12695,5552,22226,31139,11850,8574,6058,18485,8834,14440
396,18779,12939,5612,22171,31445,11827,8537,5914,18575,8472,14182
397,18361,12656,5452,22225,31138,11867,8493,5988,18286,8500,14387
398,18416,12655,5429,22014,31074,11762,8529,5957,18214,8647,14480
399,18219,12693,5526,22094,30985,11491,8451,5954,18211,8564,14282
400,18229,12655,5339,21850,30580,11372,8298,5859,18083,8403,14126
401,18264,12662,5478,21802,30650,11385,8374,6094,17969,8204,13744
402,18265,12593,5465,21799,30461,11391,8283,6121,17885,8314,13957
403,17944,12457,5287,21517,29906,11196,8302,5935,18131,8044,14140
404,18008,12547,5430,21526,30459,11106,8299,5942,17777,8239,13798
405,17536,12184,5292,21416,30480,11416,8453,5931,17429,8039,13727
406,17508,12057,5269,21738,30558,11336,8380,6066,17728,8115,13790
407,17648,12301,5161,21346,30042,11164,8192,5915,17579,7976,13783
408,17248,11991,5246,21548,30101,10917,8112,5785,17098,8183,13639
409,17549,12224,5191,21089,30249,10968,7918,5821,17304,8027,13683
410,17305,11909,5265,20971,30253,11048,8034,5948,17522,7768,13680
411,16993,11866,5051,21016,29717,10873,8230,5700,17175,7926,13507
412,17381,12036,5112,21205,29727,10907,8052,5783,16816,7955,13421
413,17139,11908,5122,20584,29682,10714,8059,5786,17043,7847,13166
414,17037,11819,4993,20565,29885,10836,8055,5919,16961,7702,13330
415,17108,11821,5114,20330,29149,10709,8104,5603,16630,7595,13032
416,16948,11772,4948,20633,29277,10660,8106,5812,16677,7573,13187
417,16934,11878,4962,20331,29127,10633,7801,5680,16684,7506,13035
418,16788,11758,5026,20484,28878,10297,7885,5704,16636,7570,13151
419,16642,11678,4968,20111,28889,10472,7707,5731,16610,7440,12955
420,16648,11609,4973,20227,28693,10176,7839,5576,16187,7412,12925
421,16468,11548,4959,20074,28869,10346,7942,5698,15950,7220,12975
422,16403,11395,4901,19734,28818,10436,7763,5626,16087,7292,12541
423,16377,11463,4857,19899,28311,10249,7632,5630,16063,7337,12762
424,16279,11455,4772,19825,28467,10184,7913,5563,15890,7357,12725
425,15978,11206,4837,19530,28460,9942,7628,5553,15968,7416,12740
426,15858,11173,4856,19584,28090,10146,7634,5479,15875,7143,12820
427,16053,11296,4727,19756,28280,9956,7509,5439,15787,7028,12469
428,15724,11000,4776,19283,27973,10070,7660,5504,15576,7182,12308
429,15850,11239,4775,19631,28013,9962,7684,5449,15798,7042,12446
430,15592,10944,4717,19551,28091,9736,7490,5500,15329,7003,12263
431,15441,10864,4605,19078,27700,9773,7613,5341,15259,6871,12435
432,15594,10883,4631,19093,27502,9710,7648,5274,15130,6871,12300
433,15610,10957,4558,19022,27613,9871,7373,5300,15310,6963,12156
434,15220,10572,4613,18977,27370,9634,7271,5232,15057,6939,12104
435,15349,10712,4572,19195,27089,9551,7428,5327,14941,6921,12122
436,15133,10545,4609,18870,26951,9499,7412,5094,15078,6810,11859
437,15117,10492,4614,18737,27028,9390,7471,5231,14940,6794,12155
438,14900,10338,4461,18767,26719,9593,7325,5286,14738,6603,11945
439,14788,10346,4407,18246,26710,9470,7242,5221,14733,6490,11962
440,14865,10413,4434,18181,26898,9202,7114,5277,14492,6616,11832
441,14885,10328,4371,18289,26590,9270,7185,5100,14482,6531,11912
442,14897,10560,4384,18512,26740,9563,7328,5176,14509,6552,11749
443,14832,10424,4446,18430,26455,9350,7085,5099,14190,6356,11862
444,14492,10168,4349,18253,26277,9165,7212,5133,14124,6465,11717
445,14702,10336,4377,18031,26126,9022,7009,5179,14048,6215,11611
446,14564,10247,4263,18059,26069,9303,6996,5236,14167,6300,11652
447,14637,10317,4279,17991,25798,8914,7080,5281,13830,6456,11761
448,14422,10194,4275,17883,25828,9163,7165,5054,13860,6245,11507
449,14245,10006,4191,17637,25886,8996,6838,5119,13813,6226,11345
450,14091,9906,4202,17359,25713,8998,6797,5166,13716,6252,11455
451,14002,9854,4261,17423,25887,9081,6913,4993,13721,6178,11289
452,14134,9847,4176,17608,25500,8763,7061,4921,13439,6147,11450
453,14104,9853,4135,17453,25395,8929,6723,5022,13493,6119,11398
454,13923,9854,3959,17261,25449,8843,6836,4977,13430,6058,11350
455,13565,9641,4184,16963,25178,8848,6667,4966,13110,6009,11390
456,13701,9709,4208,17357,25156,8741,6806,4911,13345,6090,11306
457,13806,9858,4050,17094,25053,8655,6773,4910,13189,5971,11112
458,13421,9385,3977,17124,24720,8554,6844,4968,13089,5925,11011
459,13501,9640,4033,16999,25019,8214,6553,4790,12646,6046,10956
460,13319,9374,3817,17033,24709,8525,6617,4938,12962,5850,10944
461,13478,9560,3955,16948,24790,8370,6710,4933,12836,5837,10961
462,13362,9516,3920,16347,24438,8431,6800,4784,12931,5863,11034
463,13117,9389,3918,16821,24405,8278,6600,4824,12637,5708,10691
464,13011,9194,3934,16545,23816,8266,6360,4927,12618,5748,10791
465,12992,9180,3967,16708,24274,8409,6396,4822,12534,5608,10770
466,13104,9266,3872,16519,23966,8283,6585,4674,12596,5840,10511
467,12924,9077,3988,16467,24044,8092,6508,4592,12382,5635,10760
468,12890,9172,3978,16494,24179,7894,6289,4613,12349,5670,10661
469,12625,8910,3803,15898,23817,7917,6280,4747,12103,5534,10333
470,12711,9012,3747,16191,23770,8000,6206,4817,12281,5450,10297
471,12607,8994,3836,16318,23765,7807,6457,4560,12302,5587,10435
472,12522,8887,3741,16002,23565,7965,6319,4563,11967,5354,10400
473,12640,8958,3624,16168,23350,7913,6161,4604,11869,5506,10142
474,12420,8858,3645,15674,23165,7777,6276,4752,11797,5519,10342
475,12406,8799,3714,15788,23695,7488,6263,4622,11666,5477,10311
476,12121,8682,3727,15634,22921,7871,6173,4615,11835,5303,10204
477,12026,8622,3702,15789,23333,7783,6213,4624,11767,5276,10046
478,12222,8572,3608,15262,22615,7494,5981,4608,11599,5076,10269
479,11974,8526,3668,15441,22977,7497,6067,4588,11506,5197,10063
480,11959,8474,3666,15434,22770,7529,6097,4487,11273,5291,10059
481,11961,8590,3610,15436,22394,7525,6227,4504,11089,5130,9918
482,11912,8446,3544,15172,22535,7716,6193,4506,11293,5223,9856
483,11849,8524,3410,15093,22724,7630,5979,4455,11112,5283,10009
484,11788,8408,3545,15262,22372,7544,5920,4558,11274,5075,9823
485,11591,8224,3637,14958,22161,7399,5884,4394,10999,5042,9850
486,11704,8335,3447,15082,22065,7369,5969,4336,10913,4971,9830
487,11514,8235,3492,15172,22076,7385,5999,4407,11168,5113,9927
488,11384,8205,3455,15077,21937,7357,5846,4503,10757,4958,9808
489,11281,8031,3409,14817,21799,7256,5694,4246,10642,4889,9765
490,11266,8122,3403,14676,21816,7207,5826,4409,10965,5005,9511
491,11217,8023,3342,14609,21855,7277,5632,4279,10387,4986,9599
492,11268,8048,3338,14600,21499,7110,5674,4261,10376,4885,9577
493,11298,8148,3264,14466,21430,7064,5782,4246,10252,4893,9713
494,11103,7979,3278,14713,21487,7123,5805,4204,10341,4781,9798
495,11225,8088,3262,14052,20956,6909,5595,4269,10279,4760,9460
496,10965,7893,3355,14131,21356,7031,5579,4192,10388,4785,9569
497,10793,7855,3224,14059,21022,6929,5560,4336,9949,4764,9367
498,10796,7723,3194,14220,21091,6708,5477,4140,10304,4840,9397
499,10609,7632,3311,14077,21043,6938,5525,4216,10061,4755,9530
500,10510,7598,3196,14014,20978,6784,5391,4144,10062,4709,9141
501,10662,7614,3120,13959,20802,6862,5513,4149,10095,4590,9000
502,10641,7676,3158,14003,20674,6832,5364,4186,9921,4649,9298
503,10756,7831,3087,13963,20557,6709,5357,4084,9778,4620,9200
504,10522,7617,3129,13847,20215,6763,5418,4103,9665,4658,9236
505,10454,7467,3039,13658,20544,6602,5499,4042,9754,4565,9179
506,10158,7361,3125,13487,19989,6659,5328,4060,9706,4593,9021
507,10329,7466,3173,13725,20422,6844,5266,4118,9621,4578,8922
508,10070,7320,3068,13457,20336,6404,5227,4040,9509,4489,8859
509,10109,7300,2959,13481,20293,6382,5195,3932,9547,4385,9025
510,10110,7345,3086,13424,20167,6433,5207,3993,9440,4269,8917
511,9855,7050,2958,13113,19702,6639,5131,3982,9310,4325,8852
512,9789,7044,3025,13392,19678,6375,5111,3859,9160,4411,8662
513,9871,7205,2937,12915,19480,6271,5086,4009,9040,4174,8851
514,9906,7195,2977,13182,19508,6342,5099,3852,8974,4240,8831
515,9679,6998,2914,13050,19333,6278,5181,3812,9000,4509,8772
516,9596,6944,2865,12981,19521,6277,5050,3970,9051,4353,8654
517,9670,6979,2839,12753,19063,6186,5011,3931,8876,4299,8610
518,9607,6996,2909,12654,18937,6171,4852,3735,8936,4343,8596
519,9469,6913,2822,12974,19370,6258,4882,3815,8782,4213,8806
520,9409,6843,2836,12914,18947,6259,4949,3745,8750,4180,8822
521,9394,6856,2870,12397,19008,6221,4850,3832,8679,4170,8430
522,9229,6746,2769,12660,18969,6002,4784,3719,8842,4253,8379
523,8921,6529,2795,12395,18635,6154,4877,3768,8481,4206,8280
524,9285,6837,2753,12494,18686,5975,4764,3704,8454,4095,8278
525,8989,6588,2653,12407,18425,5984,4761,3788,8668,4045,8291
526,8929,6581,2672,12208,18638,6199,4668,3740,8453,4044,8484
527,8953,6508,2727,12367,18659,5671,4662,3670,8256,4114,8382
528,8815,6498,2632,12101,18303,5965,4812,3733,8256,3929,8277
529,8866,6473,2631,11903,18455,5985,4588,3592,8345,3885,8379
530,8785,6415,2677,12136,18005,5949,4622,3592,8269,3955,8350
531,8712,6424,2664,11751,17997,5834,4439,3527,8365,4012,8046
532,8764,6359,2636,12008,18021,5779,4768,3620,7982,3852,8194
533,8666,6354,2660,11859,18168,5663,4468,3498,7911,3820,8028
534,8644,6416,2569,11752,17988,5589,4616,3524,7898,3968,8142
535,8541,6237,2508,11629,17855,5723,4451,3528,7854,4039,8042
536,8470,6182,2560,11838,17798,5438,4490,3584,7843,3761,7916
537,8602,6331,2626,11639,17699,5671,4513,3446,7517,3834,8111
538,8604,6330,2432,11816,17534,5629,4378,3464,7769,3831,7996
539,8367,6147,2572,11376,17435,5618,4440,3488,7681,3798,7900
540,8464,6177,2574,11599,17315,5590,4326,3532,7762,3797,7940
541,8188,6033,2471,11353,16982,5346,4206,3408,7605,3685,7722
542,8145,5944,2420,11361,17045,5461,4407,3438,7490,3817,7829
543,7928,5832,2614,11077,17047,5422,4258,3319,7329,3640,7492
544,8031,5904,2481,11343,17120,5405,4210,3279,7414,3707,7804
545,8002,5834,2383,11146,16832,5422,4267,3372,7293,3598,7754
546,7896,5805,2337,11218,16788,5315,4280,3251,7255,3743,7465
547,7813,5785,2427,11084,16477,5316,4138,3465,7171,3642,7621
548,7770,5676,2338,11033,16844,5197,4170,3252,7069,3547,7664
549,7795,5761,2427,10871,16551,5162,4174,3341,7101,3624,7603
550,7912,5811,2339,11069,16245,5182,4133,3207,7073,3443,7447
551,7769,5797,2400,11071,16467,5115,4120,3255,7005,3507,7342
552,7585,5587,2312,10758,16383,5192,4057,3161,6914,3502,7482
553,7656,5694,2344,10611,16636,5215,4265,3277,6948,3509,7399
554,7586,5577,2219,10569,16064,5013,3872,3226,6794,3356,7526
555,7667,5602,2269,10516,15977,4987,4089,3313,6951,3471,7367
556,7555,5613,2324,10660,16065,5083,3897,3157,6730,3257,7125
557,7278,5399,2164,10696,15734,5107,3961,3238,6653,3536,7373
558,7164,5363,2127,10390,15908,4919,3946,3111,6729,3300,7212
559,7313,5406,2202,10399,15822,4973,4096,3072,6545,3386,7013
560,7272,5400,2292,10250,15822,4938,3722,3103,6593,3358,7125
561,7256,5333,2113,10163,15458,5009,3730,3088,6449,3405,7257
562,6992,5192,2156,9958,15441,4892,3763,3134,6453,3306,7135
563,7112,5308,2268,10126,15395,4831,3876,3006,6356,3324,7160
564,6981,5178,2159,10166,15466,4794,3750,3002,6234,3343,7089
565,6996,5193,2166,10062,15298,4800,3766,3002,6273,3231,7031
566,7111,5280,2051,9902,15197,4739,3742,2954,6229,3444,7084
567,6939,5163,2167,10067,15212,4660,3675,2910,6297,3315,6940
568,6733,5036,2054,9703,15282,4708,3495,2868,6141,3336,6844
569,6881,5157,2044,9588,14757,4661,3637,2976,6016,3281,6809
570,6760,5077,2061,9640,15060,4668,3656,2966,6232,3082,6916
571,6681,4981,1991,9633,14781,4441,3520,3006,5954,3248,6815
572,6540,4900,1953,9523,14696,4639,3601,2994,5934,3212,6914
573,6659,4929,1980,9513,14812,4544,3388,2801,5770,3196,6880
574,6412,4823,2047,9663,14571,4708,3331,2866,5827,3184,6775
575,6654,5027,1961,9442,14309,4588,3462,2821,5821,3062,6723
576,6545,4828,2024,9442,14530,4607,3513,2867,5796,3031,6545
577,6468,4902,2062,9318,14604,4561,3454,2902,5623,3101,6715
578,6429,4816,1928,9373,14171,4543,3352,2790,5482,3124,6575
579,6334,4784,1928,9168,14167,4408,3347,2631,5532,2990,6421
580,6241,4644,1891,9377,14156,4442,3339,2817,5583,2957,6586
581,6191,4627,2002,9109,14069,4347,3390,2700,5438,2934,6704
582,6185,4638,1984,9125,13719,4397,3327,2746,5531,2960,6475
583,6184,4615,1837,8942,13767,4353,3349,2737,5533,3080,6510
584,5933,4431,1808,9035,13795,4362,3210,2758,5342,2944,6485
585,6108,4627,1814,9036,13696,4293,3189,2682,5409,2905,6350
586,5914,4427,1809,8944,13470,4160,3218,2750,5330,2961,6369
587,5874,4454,1788,8759,13378,4234,3221,2680,5255,2935,6155
588,5961,4500,1830,9003,13526,3995,3172,2551,5148,2811,6349
589,5784,4434,1827,8527,13573,4176,3224,2715,5084,2935,6293
590,5838,4430,1732,8855,13350,4002,2981,2567,5178,2918,6086
591,5654,4255,1837,8659,13237,4142,3064,2597,4999,2898,6357
592,5738,4337,1767,8298,13207,4030,3084,2624,4923,2797,6265
593,5840,4419,1744,8570,13256,4108,3041,2582,4892,2858,6134
594,5620,4248,1689,8614,13272,3993,3024,2448,4865,2853,6016
595,5691,4350,1766,8489,13048,4103,3182,2533,4788,2735,6062
596,5564,4204,1667,8215,12944,3906,2926,2562,4792,2780,6049
597,5537,4222,1727,8474,12924,4008,3030,2447,4821,2778,5955
598,5556,4249,1691,8493,13034,3883,3012,2491,4828,2803,6077
599,5289,4035,1615,8270,12701,3908,2900,2422,4699,2771,5831
600,5309,4068,1676,8092,12699,3839,2936,2442,4741,2757,5936
601,5400,4104,1712,8199,12437,4022,2888,2392,4560,2714,5966
602,5373,4137,1610,8006,12579,3868,2892,2504,4507,2632,5861
603,5330,4041,1624,8027,12699,3894,2848,2429,4539,2755,5936
604,5175,3900,1680,7998,12465,3723,2892,2481,4457,2645,5840
605,5357,4101,1658,7861,12203,3753,2813,2426,4385,2621,5861
606,5141,3960,1698,7755,12357,3768,2890,2260,4442,2628,6009
607,5144,3898,1658,7747,12434,3786,2765,2279,4236,2586,5777
608,5070,3826,1561,7928,12096,3756,2670,2353,4344,2665,5657
609,5197,4060,1528,7694,12209,3703,2734,2343,4250,2616,5670
610,4923,3817,1526,7826,11794,3689,2705,2362,4416,2612,5518
611,4874,3690,1556,7640,11835,3612,2703,2260,4266,2467,5648
612,4980,3838,1532,7730,11906,3574,2598,2205,4121,2520,5534
613,4841,3646,1439,7501,11712,3669,2642,2226,4034,2517,5597
614,4875,3741,1516,7595,11976,3638,2597,2374,4219,2457,5637
615,4941,3769,1445,7632,11850,3518,2601,2135,3985,2443,5670
616,4834,3704,1465,7449,11453,3501,2461,2207,3978,2513,5419
617,4794,3716,1477,7437,11526,3670,2553,2173,4123,2427,5518
618,4790,3682,1476,7311,11493,3498,2575,2190,3999,2410,5239
619,4636,3569,1441,7189,11488,3544,2516,2081,3879,2456,5380
620,4735,3619,1440,7365,10991,3585,2462,2118,3924,2435,5261
621,4651,3628,1428,7288,11187,3570,2485,2092,3892,2407,5310
622,4587,3575,1436,7310,11250,3542,2470,2109,3923,2359,5435
623,4584,3538,1467,7125,11221,3261,2364,2045,3734,2398,5280
624,4377,3359,1457,7091,11153,3371,2490,2051,3800,2421,5309
625,4483,3445,1381,7142,11035,3313,2380,2104,3792,2338,5197
626,4376,3443,1338,7000,11050,3353,2320,2015,3746,2396,5295
627,4387,3425,1447,6756,10907,3385,2358,2108,3710,2282,5188
628,4331,3357,1393,6899,10877,3267,2386,1999,3680,2347,5197
629,4381,3346,1285,6720,10867,3408,2406,2028,3696,2299,5087
630,4304,3291,1368,6827,10581,3143,2279,2028,3559,2357,5168
631,4209,3249,1374,6618,10745,3319,2386,2043,3537,2341,5187
632,4148,3182,1302,6766,10649,3229,2287,2029,3554,2168,5108
633,4136,3232,1315,6648,10675,3358,2262,1968,3390,2347,5119
634,4243,3317,1289,6602,10508,3121,2110,1933,3418,2253,4910
635,4129,3198,1259,6446,10407,3134,2219,1928,3423,2249,5077
636,4174,3239,1289,6519,10497,3179,2203,1844,3305,2203,4998
637,3990,3074,1247,6507,10284,3125,2195,1820,3229,2205,5032
638,3884,3030,1212,6450,10039,3122,2200,1871,3306,2178,4852
639,4029,3154,1207,6393,10205,3188,2205,1933,3356,2224,4854
640,3878,3014,1255,6231,10049,3049,2086,1829,3285,2194,4903
641,3941,3071,1173,6399,10200,3057,2043,1880,3201,2141,4919
642,3895,3052,1155,6245,10031,3119,2128,1807,3314,2134,4883
643,3821,2983,1282,6284,9772,2987,2079,1736,3217,2156,4864
644,3740,2930,1180,6320,9948,3001,2072,1860,3179,2108,4872
645,3802,2941,1201,6316,9783,2975,2059,1667,3013,2108,4737
646,3817,2990,1173,6245,9644,3030,2004,1711,3020,1989,4576
647,3680,2871,1112,6017,9619,3032,2050,1810,2945,2118,4618
648,3691,2899,1137,6021,9769,2922,1902,1802,3000,2061,4776
649,3801,2979,1128,5862,9597,2830,1940,1709,2937,2130,4750
650,3683,2847,1050,5946,9464,2900,1965,1680,2927,2030,4593
651,3689,2844,1178,5988,9490,2867,1938,1703,2968,2080,4454
652,3518,2785,1181,5808,9294,2889,1853,1798,2846,1977,4577
653,3634,2819,1161,5825,9218,2856,1908,1678,2712,1936,4634
654,3458,2713,1138,5925,9332,2852,1957,1696,2799,1986,4647
655,3528,2802,1143,5658,9429,2779,1795,1626,2818,2027,4575
656,3484,2719,1082,5798,9247,2797,1780,1623,2701,1913,4473
657,3518,2798,1047,5640,9253,2811,1904,1533,2793,1963,4522
658,3530,2762,1042,5569,9059,2752,1801,1599,2815,1898,4549
659,3322,2625,1058,5537,9195,2760,1773,1568,2730,1931,4388
660,3369,2672,996,5512,8861,2775,1754,1649,2609,1960,4342
661,3357,2665,1026,5609,8880,2783,1779,1591,2643,1928,4496
662,3317,2631,985,5617,8972,2769,1758,1566,2591,1890,4314
663,3225,2567,1039,5395,8942,2616,1767,1530,2577,1901,4370
664,3319,2609,1015,5302,8903,2676,1708,1548,2685,1836,4443
665,3205,2537,1001,5548,8802,2621,1686,1544,2521,1892,4278
666,3257,2584,1014,5342,8752,2604,1724,1441,2690,1775,4363
667,3198,2548,1011,5263,8702,2593,1623,1506,2510,1902,4290
668,3184,2548,1037,5290,8528,2547,1647,1527,2500,1809,4265
669,3104,2473,989,5208,8447,2598,1676,1572,2515,1837,4260
670,3079,2445,995,5217,8445,2460,1684,1535,2457,1837,4239
671,3078,2453,1000,5275,8529,2472,1651,1463,2277,1689,4122
672,3109,2494,956,5216,8379,2500,1632,1463,2395,1860,4167
673,3090,2459,998,5073,8280,2455,1542,1418,2322,1857,4085
674,2923,2310,932,5077,8408,2485,1644,1381,2292,1795,3896
675,3068,2427,956,4986,8243,2454,1554,1407,2303,1696,4009
676,2894,2300,911,4958,8298,2472,1474,1451,2248,1743,4027
677,2959,2326,911,4895,8335,2497,1632,1389,2311,1746,4065
678,2946,2373,907,4955,8178,2485,1446,1411,2339,1787,4009
679,2878,2301,914,4989,8023,2556,1569,1361,2286,1814,4052
680,2777,2250,911,4840,8186,2360,1460,1442,2275,1782,3952
681,2908,2349,871,4877,7944,2342,1550,1447,2178,1682,3986
682,2754,2166,869,4892,8087,2356,1508,1409,2144,1685,3959
683,2812,2247,952,4823,7891,2307,1533,1310,2078,1721,3808
684,2834,2292,912,4716,7825,2369,1494,1301,2076,1788,4023
685,2793,2252,791,4764,7830,2435,1381,1284,2014,1695,3869
686,2727,2145,869,4840,7960,2291,1450,1339,2105,1685,3797
687,2745,2201,868,4638,7733,2318,1419,1308,2036,1658,3964
688,2661,2147,821,4714,7716,2296,1439,1262,1980,1671,3692
689,2820,2275,852,4465,7573,2316,1364,1423,1984,1594,3821
690,2531,2021,826,4623,7601,2252,1323,1271,1972,1666,3716
691,2559,2012,833,4548,7390,2327,1373,1349,1963,1685,3770
692,2456,1973,821,4543,7491,2145,1375,1270,1901,1584,3770
693,2617,2112,824,4441,7476,2342,1343,1270,2015,1692,3809
694,2560,2062,803,4493,7368,2226,1319,1268,2003,1665,3741
695,2542,2007,810,4513,7334,2208,1324,1278,1945,1508,3711
696,2494,2033,806,4273,7508,2165,1385,1272,1988,1598,3762
697,2494,2003,779,4443,7442,2094,1349,1181,1968,1643,3713
698,2550,2093,732,4392,7454,2241,1374,1225,1964,1671,3830
699,2573,2082,786,4649,7396,2173,1439,1255,1890,1626,3823
700,2541,2041,825,4589,7300,2217,1378,1233,2054,1779,3794