"","ENCODE_Broad","cutandtag_withdup","cutandtag_dedup","cutandrun","H3K27ac_Diagenode_pA_Tn5_F10_P9_R1","H3K27ac_Abcam_Tn5_F6_P7_R1","H3K27ac_Abcam_Tn5_F10_P7_R1","H3K27ac_Abcam_pA_Tn5_F6_P9_R2","H3K27ac_Abcam_pA_Tn5_F6_P9_R1","H3K27ac_Abcam_pA_Tn5_F10_P9_R1","H3K27ac_Abcam_pA_Tn5_F10_P6_R1","H3K27ac_scTIP_Top01","H3K27ac_scTIP_Top02","H3K27ac_scTIP_Top03","H3K27ac_scTIP_Top04","H3K27ac_scTIP_Top05","H3K27ac_scTIP_Top06","H3K27ac_scTIP_Top07","H3K27ac_scTIP_Top08","H3K27ac_scTIP_Top09","H3K27ac_scTIP_Top10"
"ENCODE_Broad",100,4.92814645308924,4.85675057208238,48.8421052631579,74.8338672768879,88.9647597254005,94.8430205949657,94.5080091533181,69.6036613272311,80.1757437070938,85.6,36.1446224256293,34.6764302059497,34.9235697940503,32.4430205949657,31.5313501144165,30.4201372997712,30.5629290617849,29.3400457665904,29.1533180778032,30.2279176201373
"cutandtag_withdup",15.8687646468028,100,81.645463675929,42.6682289923,23.6776029460998,33.0850351523267,40.3498493471711,36.1064613324406,19.0659524606629,26.4981586876465,30.281218613994,17.8356210244392,16.9065952460663,16.1700703046535,16.4797455641111,15.8520254435889,15.2745229327084,14.9899564780716,15.2996317375293,14.7974556411115,14.7723468362906
"cutandtag_dedup",15.434003168515,81.130659551405,100,43.0084215792546,22.9467189193696,32.2187942966731,39.3729675644126,35.3622946718919,18.835987659468,25.7233386141916,29.2503960643709,17.7853748019678,16.7764529308763,16.1177353456183,16.2428083048445,15.9426332027016,15.1421662636538,14.8419911615109,15.0504460935546,14.5835070457767,14.7419327941299
"cutandrun",10.5305027790268,2.2578096107234,2.29213172241127,100,15.8086582182833,24.3080369614555,32.2481515281322,29.3448733673716,13.5383436521387,19.0979936198121,22.6600434746748,6.00796592266616,5.61339466969624,5.45375694091542,5.09297567387076,4.91471354339885,4.7295337780131,4.72314826886186,4.53184905720618,4.58399738194125,4.57894218719652
"H3K27ac_Diagenode_pA_Tn5_F10_P9_R1",42.9173293155883,4.89941686894897,4.83803465305098,48.3384950196702,100,81.6774085544488,90.0100443626015,88.8577327641528,53.0956167517647,72.0027342987082,80.2112106247036,31.5016322089227,30.2126056750649,29.5666973577746,28.2595351692196,27.4852822186881,26.7431154264669,26.7207946206858,25.7749504757122,25.8460980441394,26.1767249797718
"H3K27ac_Abcam_Tn5_F6_P7_R1",29.3028790863726,4.65713971419143,4.64013920417613,46.7394021820655,43.2292968789064,100,82.1514645439363,77.3223196695901,35.8360750822525,50.9265277958339,61.087832634979,25.1517545526366,24.016720501615,22.9616888506655,22.4906747202416,22.0386611598348,21.3886416592498,21.4016420492615,20.5756172685181,20.8096242887287,20.5896176885307
"H3K27ac_Abcam_Tn5_F10_P7_R1",23.6956710332263,4.49813481391516,4.50247245597293,47.9725861021948,32.9201006332957,52.892339724126,100,65.105404702004,27.4963130042509,37.1900754749718,45.3994968335213,22.4134640409473,21.3889129869003,20.4537173592435,20.0373037216969,19.7857204823458,19.1298690032099,19.162835082849,18.5182614730632,18.7186605361326,18.4037477227379
"H3K27ac_Abcam_pA_Tn5_F6_P9_R2",25.4712805643624,4.25800973723907,4.26975223333243,47.1696068070347,36.0205584008527,56.8418105122438,74.4076813989829,100,30.2251849443135,41.0075061648105,49.8884462871131,23.251948802717,22.2104797261289,21.1112014380041,20.6640833175261,20.4608478082179,19.6117750137749,19.7915255308963,19.0878790342249,19.3498270239999,19.0138109819437
"H3K27ac_Abcam_pA_Tn5_F6_P9_R1",51.5233750665956,4.84316728822589,4.84649706979222,50.3879195524774,68.4020378263186,85.9666355887054,93.8016116142781,94.1878662759723,100,74.3540223761321,81.2450053276505,34.0137187000533,32.8033431006926,32.2539291422483,30.5990277037826,29.5684603090037,28.8525572722429,28.842567927544,27.8036760788492,27.8536228023442,28.1616275972296
"H3K27ac_Abcam_pA_Tn5_F10_P9_R1",43.5338644202301,5.41159234502335,5.40701400970607,55.1414705613039,62.5370082104813,82.8068247718463,90.8540121478497,88.9768946677655,52.316637670543,100,97.9183835424107,35.3676403259775,33.9498824893935,32.988432072765,31.8469004669902,31.0014345450661,30.1864908585905,30.0979763757898,29.2769282422245,29.4982144492263,29.1807832005616
"H3K27ac_Abcam_pA_Tn5_F10_P6_R1",38.4437063648072,5.2680810682573,5.24232359520098,54.834948823968,54.9881380058293,76.8806344472311,87.5022029417746,84.7759777672338,45.9743780925913,74.989493662306,100,32.5818477597777,31.3387107706907,30.12539822409,29.4597708940554,28.685691045889,27.8994102894327,27.7774012065343,26.9707856029282,27.2039585169118,27.014166610181
"H3K27ac_scTIP_Top01",39.2032667455511,4.92679984223104,4.93376023758149,28.1350780724345,53.2133825201271,65.5970859144799,73.0702303890861,70.7698197257604,45.8991670726897,61.0287464327974,65.9659868680541,100,20.7048560358228,20.8637850629916,18.6329783531705,18.2408760817614,17.5564372056333,17.1260527597968,16.5506600774924,16.732790422496,17.1770956590334
"H3K27ac_scTIP_Top02",39.982045111657,4.95629730302615,4.92138502013691,28.3151082904203,53.939477063877,66.2011695614768,73.5352427027095,71.2921285270757,46.7101407713121,61.7673096345432,66.7522848842284,22.1456091569931,100,21.2678146157779,19.0409097143427,18.4112417550903,17.8613732995848,17.7005274248451,17.0908093415294,17.0683657311006,17.5359409483672
"H3K27ac_scTIP_Top03",43.5222372963316,5.16877778822518,5.18355340040566,29.4531680255752,57.5214582185985,69.2358322027751,76.3455881365267,73.9250742138703,50.0597740674574,65.2088062648596,69.7717839536852,24.0170859806305,22.8296640563085,100,20.7006326648488,20.0545354413207,19.3896328931992,19.055166762932,18.3123564414953,18.4238451515843,19.1062097868282
"H3K27ac_scTIP_Top04",40.0934269445519,5.12327934103599,5.12880756260711,28.2229531759633,53.941621980209,66.1037094366742,73.2599922604898,70.9312289236553,46.7881032671789,61.5830062468904,66.5432030515783,22.2137763281552,21.1288628448228,21.3472275968821,100,18.2887390126596,17.8119299021505,17.7953452374371,16.9744043341257,17.0186301066947,17.5548675990934
"H3K27ac_scTIP_Top05",39.8154317224955,5.01821583998412,5.01112796450392,28.0523935755497,53.4227350693903,65.493387012177,72.806656932651,70.5626355556186,46.1803439037183,60.8224770707228,65.8194292842663,22.4345434699403,21.0495726011085,21.3586039720454,18.9047814807989,100,17.967764342316,17.4928766851424,16.9272642218221,17.0590987057539,17.757963228102
"H3K27ac_scTIP_Top06",40.2929089142943,5.07957856982739,5.08406186953598,28.4749308824628,54.4123141298662,66.5217066427557,73.5634760517074,71.1170888440559,47.0626914742584,61.8575805125906,66.7951879249794,22.7004408578047,21.6244489277442,21.8336695808115,19.3588881416723,18.8612418740193,100,17.8061720092655,17.3638197713517,17.4594634984682,18.1962190839124
"H3K27ac_scTIP_Top07",40.2471619917112,4.9927923599015,4.98228121809118,28.5272388732056,53.9431797705568,66.1285963120908,73.5389512883657,71.2310048651571,46.8556670070274,61.4571445732476,66.3628446152922,22.3797225058562,21.4397261096763,21.549342302841,19.3465072977356,18.5987146375158,17.9770556790198,100,17.3689110457085,17.3208601117184,17.8253949186137
"H3K27ac_scTIP_Top08",39.445011916922,5.07165629739685,5.02058377441421,28.1626272943944,53.3893583433931,65.312470981521,72.8417989909308,70.3996038010338,46.0689633825487,61.1430959234841,65.9826043891417,22.324883152258,21.3529575633764,21.3699817377039,19.2156498591637,18.5052774940415,18.0425294827746,17.9481226978673,100,17.1387005912031,17.7794286068035
"H3K27ac_scTIP_Top09",38.9543548064957,5.03618122877906,5.03925394459893,28.1721949945459,52.9137027761987,65.2245387085375,72.4039392216811,70.1070841463227,45.6359753568191,60.7936824962743,65.613237259752,22.3202077155894,21.1664029252255,21.3492295165082,18.9018113659758,18.5161855305812,17.8048518182796,17.7495429335218,16.8907188618661,100,17.5574981947795
"H3K27ac_scTIP_Top10",41.9880740928698,5.18586653133722,5.21758436944938,29.1740674955595,56.1992514590206,67.8143237756914,74.8588556204009,72.6798401420959,48.6805379345344,63.4975260086272,68.3265668612027,23.6504059883278,22.3848642476529,22.6766683582847,20.1392413093124,19.7411824410048,19.1908779497589,18.7040091347374,18.095026642984,18.0807536158335,100
