Category,Sample,dedup_read_pairs_examined,dedup_unmapped_reads,dedup_read_pair_duplicates,dedup_read_pair_optical_duplicates,optical_duplicates_reads,non_optical_duplicates_reads,dedup_read_pairs_examined_reads,dedup_read_pair_duplicates_reads,Unique_pairs_reads,NRF,Duplication_rate
scTS_1_39_R1,H3K27ac_scTIP_Top01,232283,36048,33977,3086,6172,61782,464566,67954,396612,0.853725843044906,0.135741309671723
scTS_1_57_R1,H3K27ac_scTIP_Top02,216485,37704,32776,3154,6308,59244,432970,65552,367418,0.848599210106936,0.139272617565449
scTS_1_2_R1,H3K27ac_scTIP_Top03,202731,32990,30044,2873,5746,54342,405462,60088,345374,0.851803621547765,0.137045788364519
scTS_1_60_R1,H3K27ac_scTIP_Top04,192133,28674,28478,2566,5132,51824,384266,56956,327310,0.851779756731014,0.137928028284981
scTS_1_63_R1,H3K27ac_scTIP_Top05,187651,28176,28955,2659,5318,52592,375302,57910,317392,0.845697598200916,0.143527032452823
scTS_1_43_R1,H3K27ac_scTIP_Top06,178144,28248,26148,2511,5022,47274,356288,52296,303992,0.853219867073828,0.135997669919071
scTS_1_61_R1,H3K27ac_scTIP_Top07,177196,28704,26370,2451,4902,47838,354392,52740,301652,0.851181742251518,0.137667843047174
scTS_1_42_R1,H3K27ac_scTIP_Top08,172144,31426,25851,2374,4748,46954,344288,51702,292586,0.849829212752115,0.13760999057794
scTS_1_77_R1,H3K27ac_scTIP_Top09,171749,24416,25686,2318,4636,46736,343498,51372,292126,0.850444544073037,0.139630457117696
scTS_1_5_R1,H3K27ac_scTIP_Top10,169716,27138,25524,2381,4762,46286,339432,51048,288384,0.849607579721417,0.139258531794746